source_id,name,source_type,market,discipline_focus,tier,website_url,opencalls_url,instagram_url,scrape_method,status,needs_verification,notes
src_098,Erev Rav (ערב רב),media,tel_aviv,"painting,sculpture,installation,performance,interdisciplinary",1,https://www.erev-rav.com/,https://www.erev-rav.com/archives/category/%D7%A7%D7%95%D7%9C-%D7%A7%D7%95%D7%A8%D7%90,,manual,active,FALSE,"Added 2026-09-19 from the owner's link. Israel's main independent art magazine; its קול קורא category is a DEEP, CONTINUOUSLY-UPDATED open-calls archive — the single richest aggregator found so far, with roughly twenty listings visible on one page spanning Jun-Sep 2026 (Tel Aviv Museum video call, Beit HaGefen, Fresh Paint, Artis, Mekom LaOmanut, HaMekarer, JCU micro-grants, PHOTO IS:RAEL, Kubiya, Galeria K and more). HIGH PRIORITY for a scheduled re-check. Note it is an ARCHIVE listing, so entries include already-closed calls — each one must be date-checked before promotion, not bulk-imported."
src_099,PRTFL Magazine (מגזין פורטפוליו),media,tel_aviv,"painting,sculpture,installation,interdisciplinary",2,https://www.prtfl.co.il/,https://www.prtfl.co.il/,,manual,active,TRUE,"Added 2026-09-19 from the owner's link. Israeli design/art/fashion magazine whose news stream carries קול קורא items (e.g. 'קול קורא: דיקן.ית לפקולטה לאמנויות, המדרשה' 18.9.2026; 'קול קורא: יריד צבע טרי 2027' 12.9.2026). needs_verification TRUE: unlike Erev Rav it has no dedicated open-calls category page, so calls are mixed into general editorial and there is no stable URL to poll. Weaker aggregator than src_098; leaning design/visual rather than dance/sound."
src_100,Ministry of Culture and Sport — Otzrot Tarbut database (משרד התרבות והספורט — אוצרותרבות),funder,jerusalem,"music,performance,dance,interdisciplinary",1,https://www.gov.il/he/pages/tculturallocal_26,https://mofett.co.il/apply,,manual,active,FALSE,"Added 2026-09-19 from the owner's link. Verified on gov.il: status explicitly 'פעיל' (active), published 19.07.2026. National programme building a digital database of quality cultural events that local authorities book from, across six fields — music, theatre and fringe, DANCE, cinema, literature, visual art/museums. Open to cultural bodies, institutions, NGOs, companies, licensed dealers, ensembles, CREATORS, performers, producers and content suppliers meeting the threshold conditions. Distinct from the existing SRC183 'Fund for Independent Creators — Ministry of Culture' row, which is a different programme from the same ministry. THE BROADEST-REACH ISRAELI OPPORTUNITY FOUND: national, active, and it names dance and music explicitly."
src_101,Israeli Hashaa Theatre (תיאטרון השעה הישראלי),institution,,"performance,interdisciplinary",2,https://www.hashaa.com/,https://www.facebook.com/teatronhashaa/,,manual,active,TRUE,"Added 2026-09-19 from the owner's link. Runs the 'סוליקו בשניים' (Soliko BiShnayim) call — see opp_stg_051. MARKET LEFT BLANK: the theatre's home city was not stated on the Facebook post that carried the call, and the website was not opened, so it must not be guessed. Submissions go to sharon@hashaa.com. website_url is inferred from that email domain and is UNVERIFIED."
src_102,"Yossi Alfi Storytellers Festival / Givatayim Theatre (פסטיבל מספרי סיפורים יוסי אלפי)",festival,givatayim,"performance,music,interdisciplinary",2,https://www.facebook.com/watch/?v=1516015203489067,https://www.facebook.com/watch/?v=1516015203489067,,manual,active,TRUE,"Added 2026-09-19 from the owner's link. 33rd edition, staged at Givatayim Theatre at Sukkot 2026. Open call for artists and creators with a show, play or musical project. needs_verification TRUE: the call was published as a Facebook video whose application link sits 'in the first comment / in bio', so no canonical application URL or deadline was captured. Sukkot 2026 falls in early October, so this is imminent or already closed — date-check before promoting. Givatayim added as a market by migration 0010."
src_103,Karmiel Dance Festival (פסטיבל מחולות כרמיאל),festival,karmiel,"dance,choreography,music",1,https://www.karmielfestival.co.il/,,,manual,active,TRUE,"Added 2026-09-19. NOTE ON THE LINK THE OWNER SENT: the kkl.org.il URL is NOT an artist open call — it is a KKL procurement notice declaring KKL's intent to enter a joint venture with the festival association, so it was deliberately not staged as an opportunity. The FESTIVAL ITSELF is a legitimate source: founded 1988 by Yonatan Karmon and Tirza Hodes, running 4-8 August 2026 across Karmiel with dozens of performances, and the KKL notice states it includes CHOREOGRAPHY AND FOLKLORE COMPETITIONS — which is where an artist-facing call would live. Those competitions' own call has not been found yet; website_url is inferred and UNVERIFIED. Karmiel added as a market by migration 0010."
src_104,Ashdod Municipality — Ashdod 70 (עיריית אשדוד — אשדוד חוגגת 70),institution,ashdod,interdisciplinary,3,https://www.ashdod.muni.il/,https://www.ashdod.muni.il/he-il/%D7%90%D7%AA%D7%A8-%D7%94%D7%A2%D7%99%D7%A8/%D7%90%D7%A8%D7%9B%D7%99%D7%95%D7%9F-%D7%97%D7%93%D7%A9%D7%95%D7%AA/%D7%97%D7%93%D7%A9%D7%95%D7%AA/2025/12/%D7%90%D7%A9%D7%93%D7%95%D7%93-%D7%97%D7%95%D7%92%D7%92%D7%AA-70-%D7%A7%D7%95%D7%9C-%D7%A7%D7%95%D7%A8%D7%90-%D7%9C%D7%99%D7%95%D7%96%D7%9E%D7%95%D7%AA-%D7%A8%D7%A2%D7%99%D7%95%D7%A0%D7%95%D7%AA-%D7%95%D7%99%D7%A6%D7%99%D7%A8%D7%94,,manual,active,TRUE,"Added 2026-09-19 from the owner's link. Municipal call inviting residents, creators and organisations to propose cultural and artistic projects for the city's 70th-anniversary year. Ashdod added as a market by migration 0010. needs_verification TRUE and tier 3: the call names no deadline, no budget and no selection process, submissions are a plain email to ashdod70@ashdod.muni.il, and the page sits under a /2025/12/ path — i.e. published December 2025, so it may be stale nine months on."
src_105,HaMehoga — Tel Aviv Culture Kiryat HaMelacha (ת"א תרבות המחוגה),independent_space,tel_aviv,"dance,choreography,performance",1,https://www.facebook.com/hamehoga/,https://www.facebook.com/hamehoga/,,manual,active,TRUE,"Added 2026-09-19 from two of the owner's links. STRONG DISCIPLINE FIT: an experimental dance and performance space running a dance platform with three-month residencies including artistic mentorship, a PRODUCTION GRANT and two performances at a premiere evening, supported by the Rabinovich Foundation and Tel Aviv Culture Kiryat HaMelacha. Both calls the owner sent are already closed (platform cycle 2 closed 2.8.2026; the Ido Feder / Nir Shauloff dramaturgy reading group was posted 16 February 2026). Worth watching for the next cycle rather than importing now. needs_verification TRUE: no own website found, everything runs through Facebook."
src_106,Einav Cultural Center (מרכז ענב),venue,tel_aviv,"music,performance",2,https://www.tel-aviv.gov.il/Residents/Culture/Pages/EinavCenter.aspx,https://www.tel-aviv.gov.il/Residents/Culture/Pages/EinavCenter.aspx,,manual,active,TRUE,"Added 2026-09-19 from the owner's link. Tel Aviv municipal venue running open calls for musicians and ensembles for the 2026-2027 season, including 'סופ״ש בכורות' (Debut Weekend) for musicians and ensembles with at most one year's experience — offering a live festival-weekend performance with full professional equipment (PA, microphones, grand piano). THAT CALL CLOSED 31.7.2026. The Facebook post also referenced a second call whose text was truncated and was not captured. Worth watching for the next season."
src_107,KAN 11 — Israeli Public Broadcasting Corporation (תאגיד השידור הישראלי),media,jerusalem,music,1,https://www.kan.org.il/,https://kol-kore.kan.org.il/,,manual,active,TRUE,"Added 2026-09-19 from the owner's link. Runs a standing open-calls portal (kol-kore.kan.org.il). The specific call the owner sent is an open call for proposals to FILM AND BROADCAST MUSIC PERFORMANCES in 2026 for KAN 11 — see opp_stg_052. needs_verification TRUE: the call page renders as a submission form and no deadline or budget ceiling was visible on it. Note the eligibility shape — it addresses holders of filming and broadcast RIGHTS to existing or planned shows, i.e. producers and production companies more than individual performers."
src_108,Eshkolot Mutual Aid Fund (קרן אשכולות לעזרה הדדית),funder,tel_aviv,"music,performance",3,https://eshkolot.co.il/keren/,https://eshkolot.co.il/keren/,,manual,active,FALSE,"Added 2026-09-19 from the owner's link. Founded 1988 by Eshkolot (the Israeli performers' rights society) to give grants to PERFORMING ARTISTS IN FINANCIAL OR MEDICAL HARDSHIP. Verified on their own page. tier 3 and flagged here rather than promoted because the eligibility is narrow and conditional in a way most listings are not: applicants must be Eshkolot members WITH a royalty history (10/3/5-year average not below 700 ILS, or cumulative royalties above 30,000 ILS), and must be in demonstrated distress. Non-members cannot apply at all. It is a welfare safety net, not an open call — see the note on opp_stg_053."
