opp_id,source_id,title,slug,summary,type,discipline_flags,city,deadline,funding_min,funding_max,currency,funding_type,covers,application_fee,eligibility_geo,career_stage,materials_required,apply_url,status,verified_at,verified_by,created_at,notes
opp_stg_001,src_001,International Choreographic Research Fellowship 2026,legacy-opp-1,3-month intensive residency for independent movement artists investigating somatic interfaces and spatial dramaturgy in the industrial architecture of NRW.,residency,dance,berlin,2026-09-24,,,EUR,in_kind,"housing,studio",0,DACH,any,"cv,portfolio",https://www.pact-zollverein.de,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_002,src_001,TanzFaktur Physical Ensemble Production Grant,legacy-opp-2,Direct co-production funding for new full-length contemporary dance creations with premiere run guaranteed in Cologne during Autumn 2026.,grant,dance,berlin,2026-09-18,,,EUR,cash_grant,"housing,studio",0,DACH,any,"cv,portfolio",https://tanzfaktur.eu,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_003,src_001,Uferstudios Choreographic Lab & Studio Fellowship,legacy-opp-3,"Open research call for choreographers seeking uncompromised rehearsal time in Berlin-Wedding, with dramaturgical support and public studio sharing.",residency,dance,berlin,2026-10-15,,,EUR,in_kind,"housing,studio",0,DACH,any,"cv,portfolio",https://www.uferstudios.com,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_004,src_001,CTM Radio Lab & Spatial Sound Open Call 2027,legacy-opp-4,"Commissioning innovative works exploring spatial multi-channel audio, club deconstruction, and hybrid radio compositions for CTM 2027.",open_call,"sound,live_electronics",berlin,2026-09-12,,,EUR,in_kind,"housing,studio",0,DACH,any,"cv,portfolio",https://www.ctm-festival.de,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_005,src_001,Musicboard Berlin Experimental Pop & Club Co-Funding,legacy-opp-5,"Direct project grants for sound explorers, electronic soloists, and underground music collectives developing studio releases and tours.",grant,"sound,live_electronics",berlin,2026-09-30,,,EUR,cash_grant,"housing,studio",0,DACH,any,"cv,portfolio",https://www.musicboard-berlin.de,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_006,src_001,Free School Performing Arts Co-Production Call,legacy-opp-6,"Support for radical hybrid creations intersecting physical choreography, live electronic score, and public architectural interventions in Brussels.",grant,interdisciplinary,berlin,2026-11-02,,,EUR,cash_grant,"housing,studio",0,DACH,any,"cv,portfolio",https://kfda.be,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_007,src_001,La Raffinerie Sound & Movement Laboratory,legacy-opp-7,"Three-week research block inside the former sugar refinery in Molenbeek, Brussels. Features natural light dance floors and dramaturgical feedback.",residency,dance,berlin,2026-12-01,,,EUR,in_kind,"housing,studio",0,DACH,any,"cv,portfolio",https://www.charleroi-danse.be,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_008,src_001,Kelim Incubator & Annual Choreographic Track,legacy-opp-8,"8-month incubator program offering subsidized studio time, artistic mentoring from master choreographers, and showcase at the Kelim Festival.",residency,dance,berlin,2026-10-01,,,EUR,in_kind,"housing,studio",0,DACH,any,"cv,portfolio",https://kelim.org.il,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_009,src_001,Tmuna Sound & Body Fringe Open Call,legacy-opp-9,"Annual open call for boundary-pushing performance concerts, interdisciplinary movement pieces, and sound-poetry premieres.",open_call,"sound,live_electronics",berlin,2026-09-16,,,EUR,in_kind,"housing,studio",0,DACH,any,"cv,portfolio",https://www.tmuna.org.il,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_010,src_001,Mifal HaPais International Artist Trip & Travel Grant,legacy-opp-10,"Targeted travel and accommodation grant for independent creators invited to residencies, showcases, or festivals abroad.",grant,interdisciplinary,berlin,2026-10-10,,,EUR,cash_grant,"housing,studio",0,DACH,any,"cv,portfolio",https://culture.pais.co.il,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_011,src_001,Tanzquartier Wien Choreographic Fellowship 2027,legacy-opp-11,"Research residency in Vienna focusing on progressive body theory, experimental movement scores, and public laboratory presentations.",residency,dance,berlin,2026-10-20,,,EUR,in_kind,"housing,studio",0,DACH,any,"cv,portfolio",https://tqw.at,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_012,src_001,Rote Fabrik Zurich Sonic & Performance Loft Residency,legacy-opp-12,"Three-month studio residency on Lake Zurich for artists investigating electronic music performance, club culture, and physical dance pieces.",residency,interdisciplinary,berlin,2026-11-15,,,EUR,in_kind,"housing,studio",0,DACH,any,"cv,portfolio",https://rotefabrik.ch,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_013,src_001,EMS Stockholm Electroacoustic Composer Fellowship,legacy-opp-13,"Working residency at the historical center of Swedish electronic music, with full access to Buchla, Serge, and spatial sound arrays.",residency,"sound,live_electronics",berlin,2026-10-31,,,EUR,in_kind,"housing,studio",0,DACH,any,"cv,portfolio",https://elektronmusikstudion.se,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_014,src_001,Bimhuis Research & Development Sonic Grant,legacy-opp-14,Grants for radical improvisers and electronic composers in Amsterdam to research acoustic/electronic hybridization.,grant,"sound,live_electronics",berlin,2026-09-28,,,EUR,cash_grant,"housing,studio",0,DACH,any,"cv,portfolio",https://www.bimhuis.nl,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_015,src_001,CND Pantin Choreographic Research Grant,legacy-opp-15,"National support grant in Paris dedicated to choreographic history, somatic archives, and movement notation experiments.",grant,dance,berlin,2026-11-20,,,EUR,cash_grant,"housing,studio",0,DACH,any,"cv,portfolio",https://www.cnd.fr,draft,,,2026-09-10,homepage only — locate actual call page
opp_stg_016,src_001,Bassiani / Horoom Underground Sonic Residency,legacy-opp-16,"Creative residency exploring high-impact electronic acoustics, social resistance soundscapes, and club dramaturgy in Georgia.",residency,"sound,live_electronics",berlin,2026-10-05,,,EUR,in_kind,"housing,studio",0,DACH,any,"cv,portfolio",https://bassiani.com,draft,,,2026-09-10,homepage only — locate actual call page
